"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2015","1.2448","1.2285","1.2539","1.2275","","1.38%"
"05/17/2015","1.2279","1.2012","1.2324","1.1999","","2.22%"
"05/10/2015","1.2012","1.2078","1.2147","1.1919","","-0.49%"
"05/03/2015","1.2071","1.2158","1.2183","1.1941","","-0.72%"
"04/26/2015","1.2159","1.2182","1.2205","1.1943","","-0.17%"
"04/19/2015","1.2180","1.2222","1.2307","1.2101","","-0.57%"
"04/12/2015","1.2250","1.2577","1.2648","1.2087","","-2.48%"
"04/05/2015","1.2562","1.2452","1.2669","1.2386","","0.62%"
"03/29/2015","1.2484","1.2599","1.2785","1.2428","","-1.00%"
"03/22/2015","1.2610","1.2555","1.2623","1.2408","","0.47%"
"03/15/2015","1.2551","1.2775","1.2836","1.2477","","-1.82%"
"03/08/2015","1.2784","1.2622","1.2825","1.2572","","1.28%"
"03/01/2015","1.2622","1.2481","1.2629","1.2407","","0.91%"
"02/22/2015","1.2508","1.2529","1.2665","1.2385","","-0.16%"
"02/15/2015","1.2528","1.2447","1.2566","1.2361","","0.63%"
"02/08/2015","1.2449","1.2537","1.2699","1.2420","","-0.61%"
"02/01/2015","1.2526","1.2732","1.2774","1.2353","","-1.62%"
"01/25/2015","1.2732","1.2443","1.2798","1.2377","","2.51%"
"01/18/2015","1.2420","1.1975","1.2456","1.1931","","3.63%"
"01/11/2015","1.1985","1.1864","1.2046","1.1801","","0.99%"
"01/04/2015","1.1867","1.1779","1.1890","1.1729","","0.70%"
"12/28/2014","1.1784","1.1618","1.1786","1.1564","","1.36%"
"12/21/2014","1.1626","1.1597","1.1667","1.1577","","0.22%"
"12/14/2014","1.1601","1.1578","1.1674","1.1546","","0.16%"
"12/07/2014","1.1583","1.1445","1.1592","1.1396","","1.26%"
"11/30/2014","1.1439","1.1420","1.1476","1.1311","","0.21%"
"11/23/2014","1.1415","1.1240","1.1445","1.1222","","1.64%"
"11/16/2014","1.1231","1.1285","1.1369","1.1191","","-0.50%"
"11/09/2014","1.1288","1.1329","1.1402","1.1261","","-0.34%"
"11/02/2014","1.1327","1.1264","1.1467","1.1262","","0.54%"
"10/26/2014","1.1266","1.1236","1.1334","1.1119","","0.30%"
"10/19/2014","1.1232","1.1272","1.1299","1.1183","","-0.41%"
"10/12/2014","1.1278","1.1178","1.1387","1.1171","","0.70%"
"10/05/2014","1.1200","1.1252","1.1265","1.1079","","-0.38%"
"09/28/2014","1.1243","1.1154","1.1271","1.1068","","0.80%"
"09/21/2014","1.1154","1.0955","1.1172","1.0926","","1.75%"
"09/14/2014","1.0962","1.1092","1.1099","1.0885","","-1.19%"
"09/07/2014","1.1094","1.0881","1.1099","1.0878","","1.97%"
"08/31/2014","1.0880","1.0877","1.0943","1.0819","","0.02%"
"08/24/2014","1.0878","1.0957","1.1000","1.0811","","-0.63%"
"08/17/2014","1.0947","1.0892","1.0989","1.0874","","0.47%"
"08/10/2014","1.0896","1.0973","1.0978","1.0858","","-0.71%"
"08/03/2014","1.0974","1.0915","1.0988","1.0903","","0.52%"
"07/27/2014","1.0917","1.0814","1.0945","1.0795","","0.96%"
"07/20/2014","1.0813","1.0736","1.0822","1.0710","","0.75%"
"07/13/2014","1.0732","1.0736","1.0796","1.0708","","-0.01%"
"07/06/2014","1.0733","1.0653","1.0738","1.0628","","0.73%"
"06/29/2014","1.0655","1.0659","1.0698","1.0618","","-0.12%"
"06/22/2014","1.0668","1.0761","1.0765","1.0658","","-0.84%"
"06/15/2014","1.0758","1.0857","1.0888","1.0749","","-0.90%"
"06/08/2014","1.0856","1.0926","1.0941","1.0838","","-0.72%"
"06/01/2014","1.0935","1.0846","1.0963","1.0838","","0.85%"
"05/25/2014","1.0843","1.0870","1.0888","1.0820","","-0.17%"
"05/18/2014","1.0862","1.0859","1.0942","1.0848","","0.05%"
"05/11/2014","1.0857","1.0900","1.0929","1.0851","","-0.36%"
"05/04/2014","1.0896","1.0976","1.0991","1.0813","","-0.71%"
"04/27/2014","1.0974","1.1030","1.1039","1.0934","","-0.59%"
"04/20/2014","1.1039","1.1018","1.1057","1.0999","","0.20%"
"04/13/2014","1.1017","1.0964","1.1037","1.0941","","0.33%"
"04/06/2014","1.0981","1.0978","1.1012","1.0856","","0.00%"
"03/30/2014","1.0981","1.1065","1.1074","1.0957","","-0.72%"
"03/23/2014","1.1061","1.1218","1.1247","1.0999","","-1.42%"
"03/16/2014","1.1220","1.1100","1.1280","1.1023","","1.04%"
"03/09/2014","1.1104","1.1079","1.1156","1.1041","","0.19%"
"03/02/2014","1.1083","1.1055","1.1119","1.0953","","0.16%"
"02/23/2014","1.1065","1.1112","1.1160","1.1039","","-0.41%"
"02/16/2014","1.1111","1.0991","1.1180","1.0908","","1.21%"
"02/09/2014","1.0978","1.1033","1.1091","1.0938","","-0.50%"
"02/02/2014","1.1033","1.1128","1.1135","1.0965","","-0.86%"
"01/26/2014","1.1129","1.1083","1.1227","1.1030","","0.37%"
"01/19/2014","1.1088","1.0960","1.1175","1.0929","","1.15%"
"01/12/2014","1.0962","1.0891","1.0993","1.0841","","0.61%"
"01/05/2014","1.0895","1.0637","1.0947","1.0611","","2.44%"
"12/29/2013","1.0635","1.0703","1.0731","1.0589","","-0.66%"
"12/22/2013","1.0706","1.0640","1.0721","1.0580","","0.67%"
"12/15/2013","1.0635","1.0586","1.0738","1.0571","","0.46%"
"12/08/2013","1.0586","1.0639","1.0673","1.0559","","-0.47%"
"12/01/2013","1.0636","1.0614","1.0709","1.0602","","0.20%"
"11/24/2013","1.0615","1.0516","1.0630","1.0511","","0.96%"
"11/17/2013","1.0514","1.0437","1.0570","1.0413","","0.72%"
"11/10/2013","1.0439","1.0479","1.0527","1.0433","","-0.39%"
"11/03/2013","1.0480","1.0423","1.0505","1.0396","","0.57%"
"10/27/2013","1.0421","1.0452","1.0499","1.0410","","-0.26%"
"10/20/2013","1.0448","1.0290","1.0463","1.0269","","1.57%"
"10/13/2013","1.0286","1.0349","1.0393","1.0274","","-0.62%"
"10/06/2013","1.0350","1.0291","1.0422","1.0288","","0.53%"
"09/29/2013","1.0295","1.0303","1.0358","1.0273","","-0.12%"
"09/22/2013","1.0307","1.0299","1.0343","1.0272","","0.02%"
"09/15/2013","1.0305","1.0351","1.0358","1.0179","","-0.45%"
"09/08/2013","1.0352","1.0409","1.0421","1.0304","","-0.50%"
"09/01/2013","1.0404","1.0522","1.0562","1.0381","","-1.26%"
"08/25/2013","1.0537","1.0499","1.0562","1.0472","","0.40%"
"08/18/2013","1.0495","1.0332","1.0570","1.0314","","1.53%"
"08/11/2013","1.0337","1.0293","1.0370","1.0278","","0.48%"
"08/04/2013","1.0288","1.0385","1.0448","1.0274","","-0.95%"
"07/28/2013","1.0387","1.0282","1.0404","1.0246","","1.02%"
"07/21/2013","1.0282","1.0364","1.0370","1.0253","","-0.83%"
"07/14/2013","1.0368","1.0387","1.0444","1.0353","","-0.25%"
"07/07/2013","1.0394","1.0565","1.0589","1.0324","","-1.75%"
"06/30/2013","1.0579","1.0515","1.0610","1.0469","","0.56%"
"06/23/2013","1.0520","1.0448","1.0558","1.0421","","0.60%"
"06/16/2013","1.0457","1.0166","1.0490","1.0147","","2.82%"
"06/09/2013","1.0170","1.0198","1.0252","1.0136","","-0.26%"
"06/02/2013","1.0196","1.0360","1.0387","1.0168","","-1.75%"
"05/26/2013","1.0378","1.0310","1.0423","1.0292","","0.58%"
"05/19/2013","1.0318","1.0276","1.0394","1.0215","","0.37%"
"05/12/2013","1.0280","1.0090","1.0315","1.0080","","1.79%"
"05/05/2013","1.0099","1.0078","1.0154","1.0013","","0.19%"
"04/28/2013","1.0080","1.0172","1.0173","1.0048","","-0.87%"
"04/21/2013","1.0168","1.0257","1.0288","1.0156","","-0.94%"
"04/14/2013","1.0265","1.0133","1.0296","1.0127","","1.27%"
"04/07/2013","1.0136","1.0172","1.0217","1.0082","","-0.38%"
"03/31/2013","1.0175","1.0177","1.0238","1.0103","","0.00%"
"03/24/2013","1.0175","1.0231","1.0238","1.0145","","-0.56%"
"03/17/2013","1.0232","1.0203","1.0286","1.0199","","0.37%"
"03/10/2013","1.0194","1.0290","1.0295","1.0179","","-0.88%"
"03/03/2013","1.0284","1.0271","1.0337","1.0234","","0.15%"
"02/24/2013","1.0269","1.0215","1.0343","1.0208","","0.54%"
"02/17/2013","1.0214","1.0063","1.0257","1.0056","","1.50%"
"02/10/2013","1.0063","1.0023","1.0088","0.9997","","0.39%"
"02/03/2013","1.0024","0.9966","1.0036","0.9930","","0.59%"
"01/27/2013","0.9965","1.0057","1.0102","0.9954","","-0.91%"
"01/20/2013","1.0057","0.9919","1.0101","0.9901","","1.40%"
"01/13/2013","0.9918","0.9840","0.9948","0.9829","","0.71%"
"01/06/2013","0.9848","0.9867","0.9888","0.9812","","-0.23%"
"12/30/2012","0.9871","0.9965","0.9978","0.9834","","-0.99%"
"12/23/2012","0.9970","0.9930","0.9972","0.9903","","0.37%"
"12/16/2012","0.9933","0.9868","0.9956","0.9830","","0.78%"
"12/09/2012","0.9856","0.9882","0.9889","0.9822","","-0.29%"
"12/02/2012","0.9885","0.9941","0.9956","0.9874","","-0.59%"
"11/25/2012","0.9944","0.9932","0.9963","0.9904","","0.15%"
"11/18/2012","0.9929","1.0015","1.0019","0.9913","","-0.84%"
"11/11/2012","1.0013","1.0011","1.0057","0.9983","","-0.04%"
"11/04/2012","1.0017","0.9958","1.0034","0.9871","","0.57%"
"10/28/2012","0.9960","0.9979","1.0023","0.9921","","-0.06%"
"10/21/2012","0.9966","0.9939","0.9996","0.9887","","0.29%"
"10/14/2012","0.9937","0.9788","0.9940","0.9761","","1.37%"
"10/07/2012","0.9803","0.9785","0.9836","0.9742","","0.16%"
"09/30/2012","0.9787","0.9836","0.9885","0.9732","","-0.52%"
"09/23/2012","0.9838","0.9763","0.9863","0.9756","","0.76%"
"09/16/2012","0.9764","0.9709","0.9820","0.9694","","0.47%"
"09/09/2012","0.9718","0.9779","0.9790","0.9632","","-0.69%"
"09/02/2012","0.9786","0.9871","0.9921","0.9765","","-0.80%"
"08/26/2012","0.9865","0.9919","0.9934","0.9841","","-0.59%"
"08/19/2012","0.9924","0.9889","0.9950","0.9840","","0.32%"
"08/12/2012","0.9892","0.9913","0.9943","0.9859","","-0.18%"
"08/05/2012","0.9910","1.0019","1.0025","0.9904","","-1.03%"
"07/29/2012","1.0013","1.0042","1.0089","0.9980","","-0.21%"
"07/22/2012","1.0034","1.0135","1.0232","1.0029","","-0.89%"
"07/15/2012","1.0124","1.0143","1.0175","1.0063","","-0.21%"
"07/08/2012","1.0145","1.0194","1.0250","1.0126","","-0.48%"
"07/01/2012","1.0194","1.0162","1.0208","1.0097","","0.28%"
"06/24/2012","1.0166","1.0257","1.0364","1.0162","","-0.76%"
"06/17/2012","1.0244","1.0202","1.0301","1.0156","","0.26%"
"06/10/2012","1.0217","1.0223","1.0326","1.0200","","-0.45%"
"06/03/2012","1.0263","1.0394","1.0448","1.0208","","-1.37%"
"05/27/2012","1.0406","1.0271","1.0444","1.0206","","1.10%"
"05/20/2012","1.0293","1.0214","1.0313","1.0151","","0.70%"
"05/13/2012","1.0221","1.0017","1.0229","0.9988","","2.13%"
"05/06/2012","1.0008","0.9949","1.0064","0.9922","","0.53%"
"04/29/2012","0.9955","0.9807","0.9965","0.9801","","1.53%"
"04/22/2012","0.9805","0.9926","0.9980","0.9798","","-1.13%"
"04/15/2012","0.9917","0.9991","1.0034","0.9863","","-0.78%"
"04/08/2012","0.9995","0.9972","1.0053","0.9924","","0.22%"
"04/01/2012","0.9973","0.9954","1.0000","0.9886","","-0.06%"
"03/25/2012","0.9979","0.9981","1.0020","0.9897","","-0.02%"
"03/18/2012","0.9981","0.9912","1.0034","0.9858","","0.63%"
"03/11/2012","0.9919","0.9903","0.9950","0.9879","","0.08%"
"03/04/2012","0.9911","0.9893","1.0029","0.9869","","0.21%"
"02/26/2012","0.9890","0.9987","1.0050","0.9839","","-1.08%"
"02/19/2012","0.9998","0.9934","1.0021","0.9905","","0.39%"
"02/12/2012","0.9959","1.0006","1.0053","0.9935","","-0.64%"
"02/05/2012","1.0023","0.9945","1.0040","0.9924","","0.93%"
"01/29/2012","0.9931","1.0015","1.0072","0.9925","","-0.79%"
"01/22/2012","1.0010","1.0143","1.0164","0.9980","","-1.18%"
"01/15/2012","1.0130","1.0244","1.0253","1.0069","","-0.93%"
"01/08/2012","1.0225","1.0284","1.0320","1.0137","","-0.46%"
"01/01/2012","1.0272","1.0209","1.0273","1.0074","","0.75%"
"12/25/2011","1.0196","1.0213","1.0271","1.0126","","-0.02%"
"12/18/2011","1.0198","1.0367","1.0417","1.0180","","-1.74%"
"12/11/2011","1.0379","1.0191","1.0425","1.0183","","1.90%"
"12/04/2011","1.0185","1.0162","1.0263","1.0050","","0.04%"
"11/27/2011","1.0181","1.0436","1.0450","1.0078","","-2.93%"
"11/20/2011","1.0488","1.0276","1.0524","1.0269","","2.13%"
"11/13/2011","1.0269","1.0081","1.0303","1.0080","","1.43%"
"11/06/2011","1.0124","1.0168","1.0266","1.0075","","-0.64%"
"10/30/2011","1.0189","0.9924","1.0229","0.9911","","2.72%"
"10/23/2011","0.9919","1.0095","1.0213","0.9889","","-1.51%"
"10/16/2011","1.0071","1.0105","1.0266","1.0042","","-0.26%"
"10/09/2011","1.0097","1.0382","1.0389","1.0095","","-2.88%"
"10/02/2011","1.0396","1.0482","1.0659","1.0232","","-1.00%"
"09/25/2011","1.0501","1.0278","1.0505","1.0141","","2.15%"
"09/18/2011","1.0280","0.9812","1.0362","0.9804","","5.13%"
"09/11/2011","0.9778","0.9980","1.0027","0.9778","","-1.92%"
"09/04/2011","0.9969","0.9860","0.9980","0.9828","","1.14%"
"08/28/2011","0.9857","0.9812","0.9859","0.9722","","0.42%"
"08/21/2011","0.9816","0.9913","0.9925","0.9790","","-0.85%"
"08/14/2011","0.9900","0.9880","0.9939","0.9772","","0.30%"
"08/07/2011","0.9870","0.9812","1.0010","0.9764","","0.55%"
"07/31/2011","0.9816","0.9557","0.9854","0.9489","","2.76%"
"07/24/2011","0.9552","0.9484","0.9590","0.9405","","0.74%"
"07/17/2011","0.9482","0.9542","0.9637","0.9422","","-0.57%"
"07/10/2011","0.9536","0.9622","0.9779","0.9518","","-0.83%"
"07/03/2011","0.9616","0.9590","0.9696","0.9567","","0.29%"
"06/26/2011","0.9588","0.9875","0.9916","0.9580","","-3.00%"
"06/19/2011","0.9885","0.9808","0.9888","0.9699","","0.93%"
"06/12/2011","0.9794","0.9790","0.9900","0.9668","","-0.04%"
"06/05/2011","0.9798","0.9778","0.9821","0.9709","","0.18%"
"05/29/2011","0.9780","0.9778","0.9852","0.9653","","0.23%"
"05/22/2011","0.9758","0.9735","0.9818","0.9735","","0.18%"
"05/15/2011","0.9740","0.9690","0.9793","0.9639","","0.59%"
"05/08/2011","0.9683","0.9660","0.9747","0.9513","","0.28%"
"05/01/2011","0.9656","0.9457","0.9713","0.9445","","2.22%"
"04/24/2011","0.9446","0.9525","0.9577","0.9437","","-1.07%"
"04/17/2011","0.9548","0.9593","0.9725","0.9455","","-0.53%"
"04/10/2011","0.9599","0.9557","0.9672","0.9544","","0.44%"
"04/03/2011","0.9557","0.9646","0.9693","0.9524","","-0.82%"
"03/27/2011","0.9636","0.9817","0.9823","0.9624","","-1.75%"
"03/20/2011","0.9808","0.9853","0.9856","0.9731","","-0.39%"
"03/13/2011","0.9846","0.9736","0.9975","0.9709","","1.33%"
"03/06/2011","0.9717","0.9732","0.9803","0.9666","","-0.02%"
"02/27/2011","0.9719","0.9786","0.9791","0.9683","","-0.60%"
"02/20/2011","0.9778","0.9857","0.9960","0.9775","","-0.85%"
"02/13/2011","0.9862","0.9894","0.9906","0.9815","","-0.10%"
"02/06/2011","0.9872","0.9887","0.9989","0.9848","","-0.07%"
"01/30/2011","0.9879","1.0015","1.0059","0.9829","","-1.24%"
"01/23/2011","1.0003","0.9936","1.0019","0.9907","","0.63%"
"01/16/2011","0.9940","0.9882","1.0032","0.9829","","0.45%"
"01/09/2011","0.9895","0.9929","0.9985","0.9845","","-0.18%"
"01/02/2011","0.9913","0.9950","1.0035","0.9886","","-0.57%"
"12/26/2010","0.9970","1.0082","1.0113","0.9925","","-1.07%"
"12/19/2010","1.0078","1.0122","1.0210","1.0048","","-0.55%"
"12/12/2010","1.0134","1.0102","1.0145","0.9999","","0.36%"
"12/05/2010","1.0098","1.0039","1.0143","1.0008","","0.60%"
"11/28/2010","1.0038","1.0163","1.0288","0.9999","","-1.63%"
"11/21/2010","1.0204","1.0166","1.0265","1.0061","","0.25%"
"11/14/2010","1.0179","1.0114","1.0263","1.0055","","0.87%"
"11/07/2010","1.0091","1.0004","1.0147","0.9973","","0.87%"
"10/31/2010","1.0004","1.0191","1.0204","0.9989","","-1.82%"
"10/24/2010","1.0189","1.0255","1.0341","1.0151","","-0.68%"
"10/17/2010","1.0259","1.0124","1.0373","1.0116","","1.58%"
"10/10/2010","1.0099","1.0103","1.0185","0.9973","","-0.10%"
"10/03/2010","1.0109","1.0196","1.0273","1.0059","","-0.91%"
"09/26/2010","1.0202","1.0242","1.0362","1.0185","","-0.41%"
"09/19/2010","1.0244","1.0332","1.0381","1.0189","","-0.88%"
"09/12/2010","1.0335","1.0339","1.0351","1.0210","","-0.36%"
"09/05/2010","1.0372","1.0393","1.0511","1.0287","","-0.16%"
"08/29/2010","1.0389","1.0492","1.0673","1.0379","","-1.18%"
"08/22/2010","1.0513","1.0492","1.0669","1.0442","","0.33%"
"08/15/2010","1.0478","1.0412","1.0514","1.0242","","0.51%"
"08/08/2010","1.0425","1.0271","1.0495","1.0253","","1.45%"
"08/01/2010","1.0276","1.0292","1.0307","1.0103","","-0.20%"
"07/25/2010","1.0297","1.0381","1.0396","1.0250","","-0.63%"
"07/18/2010","1.0362","1.0574","1.0587","1.0343","","-2.03%"
"07/11/2010","1.0577","1.0322","1.0583","1.0274","","2.37%"
"07/04/2010","1.0332","1.0628","1.0679","1.0296","","-2.78%"
"06/27/2010","1.0627","1.0351","1.0675","1.0316","","2.62%"
"06/20/2010","1.0356","1.0194","1.0471","1.0135","","1.36%"
"06/13/2010","1.0217","1.0351","1.0362","1.0204","","-1.07%"
"06/06/2010","1.0328","1.0608","1.0680","1.0284","","-2.80%"
"05/30/2010","1.0625","1.0520","1.0629","1.0360","","0.80%"
"05/23/2010","1.0541","1.0627","1.0852","1.0440","","-0.49%"
"05/16/2010","1.0593","1.0356","1.0749","1.0242","","2.32%"
"05/09/2010","1.0353","1.0322","1.0393","1.0107","","-0.71%"
"05/02/2010","1.0427","1.0162","1.0741","1.0099","","2.48%"
"04/25/2010","1.0175","0.9989","1.0198","0.9964","","1.78%"
"04/18/2010","0.9997","1.0152","1.0217","0.9928","","-1.27%"
"04/11/2010","1.0126","1.0055","1.0166","0.9951","","0.97%"
"04/04/2010","1.0029","1.0082","1.0105","0.9975","","-0.84%"
"03/28/2010","1.0114","1.0252","1.0272","1.0065","","-1.54%"
"03/21/2010","1.0272","1.0162","1.0304","1.0147","","0.97%"
"03/14/2010","1.0173","1.0171","1.0234","1.0061","","-0.12%"
"03/07/2010","1.0185","1.0284","1.0322","1.0154","","-1.13%"
"02/28/2010","1.0301","1.0547","1.0575","1.0261","","-2.17%"
"02/21/2010","1.0530","1.0381","1.0680","1.0370","","1.26%"
"02/14/2010","1.0399","1.0514","1.0534","1.0388","","-1.07%"
"02/07/2010","1.0511","1.0688","1.0776","1.0478","","-1.66%"
"01/31/2010","1.0688","1.0707","1.0783","1.0547","","-0.09%"
"01/24/2010","1.0698","1.0575","1.0701","1.0531","","1.14%"
"01/17/2010","1.0577","1.0303","1.0604","1.0248","","2.81%"
"01/10/2010","1.0288","1.0282","1.0415","1.0223","","-0.13%"
"01/03/2010","1.0301","1.0518","1.0518","1.0290","","-2.08%"
"12/27/2009","1.0520","1.0503","1.0581","1.0368","","0.18%"
"12/20/2009","1.0501","1.0665","1.0701","1.0448","","-1.52%"
"12/13/2009","1.0663","1.0602","1.0747","1.0551","","0.58%"
"12/06/2009","1.0602","1.0560","1.0671","1.0478","","0.25%"
"11/29/2009","1.0576","1.0578","1.0620","1.0406","","-0.42%"
"11/22/2009","1.0621","1.0703","1.0751","1.0448","","-0.73%"
"11/15/2009","1.0699","1.0539","1.0734","1.0425","","1.85%"
"11/08/2009","1.0505","1.0720","1.0749","1.0416","","-2.22%"
"11/01/2009","1.0743","1.0848","1.0871","1.0595","","-0.95%"
"10/25/2009","1.0846","1.0530","1.0850","1.0501","","2.93%"
"10/18/2009","1.0537","1.0389","1.0585","1.0265","","1.65%"
"10/11/2009","1.0366","1.0431","1.0452","1.0206","","-0.57%"
"10/04/2009","1.0425","1.0806","1.0823","1.0410","","-3.44%"
"09/27/2009","1.0796","1.0911","1.0994","1.0671","","-1.07%"
"09/20/2009","1.0913","1.0701","1.0985","1.0661","","2.09%"
"09/13/2009","1.0690","1.0774","1.0928","1.0593","","-0.72%"
"09/06/2009","1.0768","1.0865","1.0882","1.0673","","-1.05%"
"08/30/2009","1.0882","1.0917","1.1105","1.0825","","-0.32%"
"08/23/2009","1.0917","1.0796","1.1023","1.0720","","0.97%"
"08/16/2009","1.0812","1.0997","1.1126","1.0764","","-1.56%"
"08/09/2009","1.0983","1.0831","1.1077","1.0793","","1.56%"
"08/02/2009","1.0814","1.0772","1.0867","1.0633","","0.32%"
"07/26/2009","1.0779","1.0854","1.0936","1.0751","","-0.81%"
"07/19/2009","1.0867","1.1151","1.1153","1.0793","","-2.40%"
"07/12/2009","1.1134","1.1622","1.1671","1.1117","","-4.34%"
"07/05/2009","1.1639","1.1620","1.1726","1.1542","","0.27%"
"06/28/2009","1.1608","1.1524","1.1658","1.1439","","0.71%"
"06/21/2009","1.1526","1.1349","1.1639","1.1336","","1.51%"
"06/14/2009","1.1355","1.1197","1.1450","1.1182","","1.48%"
"06/07/2009","1.1189","1.1204","1.1294","1.0941","","-0.02%"
"05/31/2009","1.1191","1.0907","1.1208","1.0785","","2.60%"
"05/24/2009","1.0907","1.1210","1.1357","1.0892","","-2.59%"
"05/17/2009","1.1197","1.1784","1.1816","1.1189","","-4.95%"
"05/10/2009","1.1780","1.1492","1.1810","1.1477","","2.42%"
"05/03/2009","1.1502","1.1865","1.1901","1.1489","","-2.97%"
"04/26/2009","1.1854","1.2111","1.2268","1.1829","","-1.98%"
"04/19/2009","1.2094","1.2136","1.2506","1.2073","","-0.36%"
"04/12/2009","1.2138","1.2254","1.2302","1.1982","","-1.01%"
"04/05/2009","1.2262","1.2296","1.2485","1.2212","","-0.29%"
"03/29/2009","1.2298","1.2407","1.2717","1.2294","","-1.00%"
"03/22/2009","1.2422","1.2395","1.2448","1.2203","","0.08%"
"03/15/2009","1.2412","1.2729","1.2788","1.2191","","-2.43%"
"03/08/2009","1.2721","1.2853","1.3066","1.2626","","-1.21%"
"03/01/2009","1.2877","1.2771","1.2976","1.2712","","1.14%"
"02/22/2009","1.2732","1.2504","1.2733","1.2358","","1.79%"
"02/15/2009","1.2508","1.2405","1.2673","1.2393","","1.31%"
"02/08/2009","1.2346","1.2220","1.2550","1.2130","","0.73%"
"02/01/2009","1.2256","1.2281","1.2542","1.2226","","-0.11%"
"01/25/2009","1.2269","1.2325","1.2419","1.2026","","-0.34%"
"01/18/2009","1.2311","1.2435","1.2765","1.2268","","-1.38%"
"01/11/2009","1.2483","1.1873","1.2673","1.1873","","5.02%"
"01/04/2009","1.1886","1.2060","1.2227","1.1762","","-2.18%"
"12/28/2008","1.2151","1.2220","1.2363","1.2066","","-0.57%"
"12/21/2008","1.2221","1.2155","1.2253","1.1986","","-0.18%"
"12/14/2008","1.2243","1.2465","1.2467","1.1819","","-1.98%"
"12/07/2008","1.2490","1.2712","1.2755","1.2158","","-1.65%"
"11/30/2008","1.2700","1.2369","1.3009","1.2306","","2.78%"
"11/23/2008","1.2357","1.2675","1.2776","1.2125","","-3.07%"
"11/16/2008","1.2748","1.2388","1.2986","1.2111","","3.79%"
"11/09/2008","1.2283","1.1774","1.2447","1.1660","","3.31%"
"11/02/2008","1.1889","1.2098","1.2119","1.1466","","-1.95%"
"10/26/2008","1.2125","1.2785","1.3020","1.1901","","-5.10%"
"10/19/2008","1.2776","1.1822","1.2843","1.1741","","8.05%"
"10/12/2008","1.1824","1.1683","1.1997","1.1306","","0.78%"
"10/05/2008","1.1732","1.0835","1.2123","1.0814","","8.36%"
"09/28/2008","1.0827","1.0360","1.0844","1.0332","","4.75%"
"09/21/2008","1.0336","1.0471","1.0517","1.0299","","-1.26%"
"09/14/2008","1.0468","1.0631","1.0810","1.0430","","-1.25%"
"09/07/2008","1.0601","1.0572","1.0824","1.0551","","-0.21%"
"08/31/2008","1.0623","1.0614","1.0779","1.0543","","-0.14%"
"08/24/2008","1.0638","1.0483","1.0647","1.0412","","1.59%"
"08/17/2008","1.0472","1.0595","1.0671","1.0421","","-1.13%"
"08/10/2008","1.0592","1.0677","1.0731","1.0564","","-0.70%"
"08/03/2008","1.0667","1.0267","1.0697","1.0261","","3.86%"
"07/27/2008","1.0271","1.0191","1.0300","1.0174","","0.72%"
"07/20/2008","1.0198","1.0063","1.0208","0.9990","","1.40%"
"07/13/2008","1.0057","1.0071","1.0141","0.9973","","-0.38%"
"07/06/2008","1.0095","1.0187","1.0232","1.0069","","-1.01%"
"06/29/2008","1.0198","1.0105","1.0243","1.0063","","0.91%"
"06/22/2008","1.0106","1.0165","1.0193","1.0048","","-0.60%"
"06/15/2008","1.0167","1.0286","1.0300","1.0101","","-1.23%"
"06/08/2008","1.0294","1.0185","1.0323","1.0150","","0.96%"
"06/01/2008","1.0196","0.9951","1.0223","0.9928","","2.64%"
"05/25/2008","0.9934","0.9887","0.9981","0.9824","","0.37%"
"05/18/2008","0.9897","0.9996","1.0002","0.9819","","-0.95%"
"05/11/2008","0.9992","1.0067","1.0110","0.9945","","-0.61%"
"05/04/2008","1.0053","1.0194","1.0199","0.9997","","-1.40%"
"04/27/2008","1.0196","1.0131","1.0243","1.0037","","0.57%"
"04/20/2008","1.0138","1.0051","1.0215","0.9997","","0.94%"
"04/13/2008","1.0044","1.0269","1.0276","0.9989","","-1.87%"
"04/06/2008","1.0235","1.0092","1.0250","1.0040","","1.51%"
"03/30/2008","1.0083","1.0226","1.0327","1.0018","","-1.40%"
"03/23/2008","1.0226","1.0252","1.0310","1.0094","","-0.06%"
"03/16/2008","1.0232","0.9884","1.0297","0.9860","","3.43%"
"03/09/2008","0.9893","0.9891","0.9986","0.9798","","-0.05%"
"03/02/2008","0.9898","0.9853","0.9978","0.9746","","0.54%"
"02/24/2008","0.9845","1.0125","1.0130","0.9710","","-2.74%"
"02/17/2008","1.0122","1.0095","1.0200","1.0021","","0.49%"
"02/10/2008","1.0073","1.0001","1.0114","0.9920","","0.73%"
"02/03/2008","1.0000","0.9944","1.0128","0.9922","","0.73%"
"01/27/2008","0.9928","1.0094","1.0120","0.9872","","-1.38%"
"01/20/2008","1.0067","1.0263","1.0381","1.0017","","-2.00%"
"01/13/2008","1.0272","1.0199","1.0310","1.0124","","0.73%"
"01/06/2008","1.0198","1.0022","1.0223","0.9966","","1.61%"
"12/30/2007","1.0036","0.9809","1.0037","0.9765","","2.32%"
"12/23/2007","0.9808","0.9917","0.9937","0.9757","","-1.07%"
"12/16/2007","0.9914","1.0178","1.0229","0.9909","","-2.54%"
"12/09/2007","1.0172","1.0041","1.0249","1.0005","","1.23%"
"12/02/2007","1.0048","0.9995","1.0216","0.9975","","0.47%"
"11/25/2007","1.0001","0.9869","1.0017","0.9799","","1.09%"
"11/18/2007","0.9893","0.9771","0.9928","0.9706","","1.61%"
