"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2020","1.3769","1.3998","1.4009","1.3712","","-1.61%"
"05/17/2020","1.3994","1.4101","1.4118","1.3864","","-0.81%"
"05/10/2020","1.4108","1.3937","1.4141","1.3900","","1.31%"
"05/03/2020","1.3925","1.4073","1.4174","1.3906","","-1.13%"
"04/26/2020","1.4084","1.4108","1.4117","1.3848","","-0.13%"
"04/19/2020","1.4102","1.4008","1.4266","1.3998","","0.74%"
"04/12/2020","1.3998","1.3941","1.4183","1.3854","","0.33%"
"04/05/2020","1.3952","1.4195","1.4262","1.3929","","-1.75%"
"03/29/2020","1.4201","1.3992","1.4350","1.3991","","1.60%"
"03/22/2020","1.3977","1.4348","1.4562","1.3920","","-2.68%"
"03/15/2020","1.4362","1.3836","1.4669","1.3732","","4.05%"
"03/08/2020","1.3803","1.3462","1.3996","1.3461","","2.83%"
"03/01/2020","1.3423","1.3412","1.3446","1.3314","","0.20%"
"02/23/2020","1.3396","1.3248","1.3466","1.3234","","1.32%"
"02/16/2020","1.3222","1.3250","1.3280","1.3200","","-0.23%"
"02/09/2020","1.3252","1.3304","1.3331","1.3233","","-0.44%"
"02/02/2020","1.3311","1.3238","1.3321","1.3227","","0.57%"
"01/26/2020","1.3235","1.3145","1.3254","1.3145","","0.71%"
"01/19/2020","1.3142","1.3062","1.3173","1.3034","","0.60%"
"01/12/2020","1.3063","1.3051","1.3081","1.3030","","0.10%"
"01/05/2020","1.3050","1.2984","1.3106","1.2954","","0.39%"
"12/29/2019","1.2999","1.3075","1.3086","1.2949","","-0.59%"
"12/22/2019","1.3076","1.3148","1.3178","1.3062","","-0.53%"
"12/15/2019","1.3146","1.3170","1.3187","1.3100","","-0.14%"
"12/08/2019","1.3165","1.3256","1.3267","1.3149","","-0.68%"
"12/01/2019","1.3255","1.3279","1.3322","1.3156","","-0.15%"
"11/24/2019","1.3275","1.3302","1.3320","1.3258","","-0.20%"
"11/17/2019","1.3301","1.3224","1.3329","1.3188","","0.61%"
"11/10/2019","1.3221","1.3221","1.3272","1.3210","","-0.05%"
"11/03/2019","1.3228","1.3132","1.3238","1.3110","","0.72%"
"10/27/2019","1.3134","1.3061","1.3209","1.3039","","0.58%"
"10/20/2019","1.3058","1.3126","1.3144","1.3051","","-0.50%"
"10/13/2019","1.3124","1.3198","1.3240","1.3117","","-0.55%"
"10/06/2019","1.3196","1.3314","1.3347","1.3168","","-0.88%"
"09/29/2019","1.3313","1.3246","1.3348","1.3203","","0.52%"
"09/22/2019","1.3244","1.3256","1.3306","1.3211","","-0.11%"
"09/15/2019","1.3259","1.3226","1.3311","1.3205","","-0.18%"
"09/08/2019","1.3283","1.3173","1.3289","1.3131","","0.86%"
"09/01/2019","1.3170","1.3313","1.3384","1.3156","","-1.05%"
"08/25/2019","1.3310","1.3294","1.3334","1.3223","","0.24%"
"08/18/2019","1.3278","1.3273","1.3346","1.3250","","0.06%"
"08/11/2019","1.3270","1.3226","1.3340","1.3184","","0.33%"
"08/04/2019","1.3226","1.3210","1.3346","1.3175","","0.17%"
"07/28/2019","1.3204","1.3168","1.3267","1.3103","","0.29%"
"07/21/2019","1.3166","1.3066","1.3199","1.3039","","0.81%"
"07/14/2019","1.3060","1.3035","1.3111","1.3014","","0.24%"
"07/07/2019","1.3029","1.3071","1.3145","1.3016","","-0.35%"
"06/30/2019","1.3075","1.3092","1.3147","1.3035","","-0.11%"
"06/23/2019","1.3090","1.3220","1.3223","1.3057","","-0.99%"
"06/16/2019","1.3221","1.3405","1.3434","1.3149","","-1.42%"
"06/09/2019","1.3411","1.3248","1.3424","1.3225","","1.10%"
"06/02/2019","1.3265","1.3521","1.3529","1.3260","","-1.83%"
"05/26/2019","1.3512","1.3433","1.3566","1.3428","","0.57%"
"05/19/2019","1.3436","1.3462","1.3504","1.3355","","-0.14%"
"05/12/2019","1.3455","1.3420","1.3515","1.3398","","0.32%"
"05/05/2019","1.3412","1.3434","1.3506","1.3378","","-0.06%"
"04/28/2019","1.3420","1.3456","1.3491","1.3375","","-0.25%"
"04/21/2019","1.3453","1.3388","1.3522","1.3333","","0.47%"
"04/14/2019","1.3390","1.3339","1.3404","1.3272","","0.53%"
"04/07/2019","1.3320","1.3391","1.3399","1.3279","","-0.46%"
"03/31/2019","1.3382","1.3354","1.3404","1.3294","","0.28%"
"03/24/2019","1.3344","1.3432","1.3454","1.3339","","-0.61%"
"03/17/2019","1.3426","1.3349","1.3434","1.3248","","0.69%"
"03/10/2019","1.3334","1.3418","1.3442","1.3285","","-0.59%"
"03/03/2019","1.3413","1.3293","1.3471","1.3274","","0.89%"
"02/24/2019","1.3295","1.3144","1.3312","1.3111","","1.21%"
"02/17/2019","1.3136","1.3241","1.3284","1.3131","","-0.81%"
"02/10/2019","1.3243","1.3281","1.3343","1.3194","","-0.25%"
"02/03/2019","1.3276","1.3112","1.3330","1.3084","","1.36%"
"01/27/2019","1.3098","1.3218","1.3289","1.3066","","-0.90%"
"01/20/2019","1.3217","1.3248","1.3376","1.3212","","-0.30%"
"01/13/2019","1.3257","1.3262","1.3320","1.3224","","-0.05%"
"01/06/2019","1.3264","1.3376","1.3391","1.3178","","-0.81%"
"12/30/2018","1.3372","1.3631","1.3666","1.3371","","-1.94%"
"12/23/2018","1.3637","1.3599","1.3662","1.3564","","0.29%"
"12/16/2018","1.3598","1.3381","1.3604","1.3371","","1.61%"
"12/09/2018","1.3382","1.3322","1.3426","1.3290","","0.47%"
"12/02/2018","1.3319","1.3258","1.3446","1.3159","","0.20%"
"11/25/2018","1.3293","1.3233","1.3361","1.3186","","0.45%"
"11/18/2018","1.3234","1.3146","1.3320","1.3140","","0.69%"
"11/11/2018","1.3143","1.3196","1.3265","1.3125","","-0.50%"
"11/04/2018","1.3209","1.3105","1.3233","1.3054","","0.78%"
"10/28/2018","1.3107","1.3108","1.3172","1.3046","","0.02%"
"10/21/2018","1.3105","1.3096","1.3161","1.2967","","0.06%"
"10/14/2018","1.3097","1.3023","1.3133","1.2914","","0.58%"
"10/07/2018","1.3021","1.2944","1.3073","1.2924","","0.66%"
"09/30/2018","1.2935","1.2902","1.2956","1.2780","","0.24%"
"09/23/2018","1.2904","1.2915","1.3083","1.2903","","-0.07%"
"09/16/2018","1.2913","1.3037","1.3066","1.2882","","-0.91%"
"09/09/2018","1.3031","1.3173","1.3199","1.2973","","-0.94%"
"09/02/2018","1.3154","1.3039","1.3228","1.3039","","0.90%"
"08/26/2018","1.3037","1.3029","1.3090","1.2885","","0.08%"
"08/19/2018","1.3027","1.3061","1.3105","1.2984","","-0.24%"
"08/12/2018","1.3058","1.3148","1.3177","1.3047","","-0.65%"
"08/05/2018","1.3143","1.2991","1.3155","1.2960","","1.19%"
"07/29/2018","1.2988","1.3053","1.3097","1.2966","","-0.48%"
"07/22/2018","1.3051","1.3139","1.3192","1.3022","","-0.73%"
"07/15/2018","1.3147","1.3162","1.3291","1.3107","","-0.09%"
"07/08/2018","1.3159","1.3093","1.3220","1.3063","","0.60%"
"07/01/2018","1.3080","1.3141","1.3226","1.3074","","-0.38%"
"06/24/2018","1.3130","1.3276","1.3387","1.3128","","-1.05%"
"06/17/2018","1.3269","1.3196","1.3383","1.3159","","0.53%"
"06/10/2018","1.3199","1.2973","1.3210","1.2947","","2.13%"
"06/03/2018","1.2924","1.2951","1.3068","1.2857","","-0.18%"
"05/27/2018","1.2947","1.2972","1.3048","1.2816","","-0.18%"
"05/20/2018","1.2970","1.2881","1.2989","1.2740","","0.70%"
"05/13/2018","1.2880","1.2790","1.2925","1.2747","","0.70%"
"05/06/2018","1.2791","1.2845","1.2999","1.2727","","-0.41%"
"04/29/2018","1.2844","1.2836","1.2919","1.2801","","0.14%"
"04/22/2018","1.2826","1.2756","1.2902","1.2747","","0.54%"
"04/15/2018","1.2757","1.2606","1.2770","1.2524","","1.17%"
"04/08/2018","1.2610","1.2772","1.2821","1.2543","","-1.35%"
"04/01/2018","1.2782","1.2902","1.2945","1.2731","","-0.85%"
"03/25/2018","1.2891","1.2893","1.2937","1.2813","","0.00%"
"03/18/2018","1.2891","1.3100","1.3126","1.2821","","-1.56%"
"03/11/2018","1.3095","1.2825","1.3100","1.2802","","2.22%"
"03/04/2018","1.2810","1.2874","1.3003","1.2807","","-0.53%"
"02/25/2018","1.2878","1.2645","1.2917","1.2614","","1.98%"
"02/18/2018","1.2628","1.2550","1.2759","1.2527","","0.58%"
"02/11/2018","1.2555","1.2586","1.2650","1.2448","","-0.17%"
"02/04/2018","1.2576","1.2433","1.2685","1.2397","","1.22%"
"01/28/2018","1.2424","1.2316","1.2438","1.2248","","0.93%"
"01/21/2018","1.2309","1.2487","1.2519","1.2280","","-1.43%"
"01/14/2018","1.2487","1.2465","1.2539","1.2370","","0.26%"
"01/07/2018","1.2455","1.2415","1.2591","1.2377","","0.39%"
"12/31/2017","1.2407","1.2579","1.2581","1.2353","","-1.35%"
"12/24/2017","1.2577","1.2724","1.2742","1.2513","","-1.21%"
"12/17/2017","1.2731","1.2874","1.2921","1.2695","","-1.00%"
"12/10/2017","1.2860","1.2854","1.2893","1.2711","","0.13%"
"12/03/2017","1.2843","1.2687","1.2881","1.2622","","1.28%"
"11/26/2017","1.2681","1.2712","1.2911","1.2678","","-0.25%"
"11/19/2017","1.2713","1.2767","1.2838","1.2670","","-0.38%"
"11/12/2017","1.2761","1.2684","1.2825","1.2677","","0.64%"
"11/05/2017","1.2680","1.2765","1.2821","1.2664","","-0.63%"
"10/29/2017","1.2761","1.2818","1.2916","1.2713","","-0.34%"
"10/22/2017","1.2805","1.2624","1.2917","1.2611","","1.43%"
"10/15/2017","1.2624","1.2478","1.2631","1.2448","","1.27%"
"10/08/2017","1.2466","1.2533","1.2560","1.2431","","-0.54%"
"10/01/2017","1.2534","1.2475","1.2599","1.2446","","0.54%"
"09/24/2017","1.2467","1.2335","1.2529","1.2311","","1.06%"
"09/17/2017","1.2336","1.2195","1.2392","1.2170","","1.18%"
"09/10/2017","1.2192","1.2158","1.2241","1.2080","","0.33%"
"09/03/2017","1.2152","1.2401","1.2430","1.2059","","-1.95%"
"08/27/2017","1.2394","1.2475","1.2665","1.2339","","-0.68%"
"08/20/2017","1.2479","1.2568","1.2608","1.2463","","-0.83%"
"08/13/2017","1.2584","1.2672","1.2780","1.2555","","-0.76%"
"08/06/2017","1.2681","1.2649","1.2754","1.2629","","0.25%"
"07/30/2017","1.2650","1.2440","1.2669","1.2431","","1.75%"
